 MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 9.590000E+01, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 9.770626E+01, 3.438804E+00, 225.645396, 39.555298, 90.000000
 31844.00138889, 1.033232E+02, 6.864038E+00, 227.323891, 37.949190, 90.000000
 31844.00208333, 1.129864E+02, 1.026566E+01, 228.989885, 36.668006, 90.000000
 31844.00277778, 1.268289E+02, 1.363399E+01, 230.656386, 35.736058, 90.000000
 31844.00347222, 1.448684E+02, 1.695958E+01, 232.337296, 35.167677, 90.000000
 31844.00416667, 1.670104E+02, 2.023308E+01, 234.047124, 34.965135, 90.000000
 31844.00486111, 1.930635E+02, 2.344513E+01, 235.800711, 35.117950, 90.000000
 31844.00555556, 2.227640E+02, 2.658642E+01, 237.613020, 35.603918, 90.000000
 31844.00625000, 2.558032E+02, 2.964777E+01, 239.499021, 36.391668, 90.000000
 31844.00694444, 2.918528E+02, 3.262020E+01, 241.473658, 37.444064, 90.000000
 31844.00763889, 3.305862E+02, 3.549506E+01, 243.551889, 38.721667, 90.000000
 31844.00833333, 3.716931E+02, 3.826409E+01, 245.748756, 40.185619, 90.000000
 31844.00902778, 4.148876E+02, 4.091942E+01, 248.079442, 41.799673, 90.000000
 31844.00972222, 4.599114E+02, 4.345356E+01, 250.559252, 43.531359, 90.000000
 31844.01041667, 5.065335E+02, 4.585926E+01, 253.203491, 45.352466, 90.000000
 31844.01111111, 5.545469E+02, 4.812941E+01, 256.027147, 47.239032, 90.000000
 31844.01180556, 6.037653E+02, 5.025695E+01, 259.044352, 49.171061, 90.000000
 31844.01250000, 6.540191E+02, 5.223474E+01, 262.267566, 51.132088, 90.000000
 31844.01319444, 7.051521E+02, 5.405554E+01, 265.706443, 53.108700, 90.000000
 31844.01388889, 7.570188E+02, 5.571209E+01, 269.366392, 55.090066, 90.000000
 31844.01458333, 8.094828E+02, 5.719729E+01, 273.246903, 57.067514, 90.000000
 31844.01527778, 8.624158E+02, 5.850446E+01, 277.339800, 59.034152, 90.000000
 31844.01597222, 9.156966E+02, 5.962783E+01, 281.627687, 60.984548, 90.000000
 31844.01666667, 9.692106E+02, 6.056301E+01, 286.082958, 62.914467, 90.000000
 31844.01736111, 1.022851E+03, 6.130759E+01, 290.667773, 64.820647, 90.000000
 31844.01805556, 1.076516E+03, 6.186166E+01, 295.335293, 66.700619, 90.000000
 31844.01875000, 1.130111E+03, 6.222816E+01, 300.032259, 68.552558, 90.000000
 31844.01944444, 1.183551E+03, 6.241303E+01, 304.702625, 70.375163, 90.000000
 31844.02013889, 1.236752E+03, 6.242509E+01, 309.291698, 72.167562, 90.000000
 31844.02083333, 1.289641E+03, 6.227560E+01, 313.750027, 73.929224, 90.000000
 31844.02152778, 1.342149E+03, 6.197767E+01, 318.036400, 75.659902, 90.000000
 31844.02222222, 1.394212E+03, 6.154556E+01, 322.119554, 77.359572, 90.000000
