MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 3.959000E+02, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 3.972633E+02, 2.991544E+00, 225.399832, 39.780653, 90.000000
 31844.00138889, 4.014411E+02, 5.974780E+00, 226.847260, 38.316168, 90.000000
 31844.00208333, 4.085401E+02, 8.943094E+00, 228.292306, 37.083917, 90.000000
 31844.00277778, 4.186256E+02, 1.189005E+01, 229.742934, 36.103499, 90.000000
 31844.00347222, 4.317156E+02, 1.480935E+01, 231.207543, 35.389997, 90.000000
 31844.00416667, 4.477793E+02, 1.769479E+01, 232.694924, 34.952491, 90.000000
 31844.00486111, 4.667395E+02, 2.054021E+01, 234.214197, 34.792977, 90.000000
 31844.00555556, 4.884792E+02, 2.333950E+01, 235.774765, 34.905946, 90.000000
 31844.00625000, 5.128499E+02, 2.608655E+01, 237.386277, 35.278786, 90.000000
 31844.00694444, 5.396811E+02, 2.877532E+01, 239.058612, 35.892941, 90.000000
 31844.00763889, 5.687898E+02, 3.139982E+01, 240.801882, 36.725565, 90.000000
 31844.00833333, 5.999888E+02, 3.395414E+01, 242.626449, 37.751355, 90.000000
 31844.00902778, 6.330932E+02, 3.643245E+01, 244.542939, 38.944247, 90.000000
 31844.00972222, 6.679251E+02, 3.882902E+01, 246.562256, 40.278776, 90.000000
 31844.01041667, 7.043166E+02, 4.113816E+01, 248.695554, 41.731048, 90.000000
 31844.01111111, 7.421110E+02, 4.335422E+01, 250.954173, 43.279307, 90.000000
 31844.01180556, 7.811628E+02, 4.547155E+01, 253.349493, 44.904212, 90.000000
 31844.01250000, 8.213373E+02, 4.748439E+01, 255.892691, 46.588870, 90.000000
 31844.01319444, 8.625093E+02, 4.938690E+01, 258.594385, 48.318735, 90.000000
 31844.01388889, 9.045620E+02, 5.117309E+01, 261.464111, 50.081416, 90.000000
 31844.01458333, 9.473856E+02, 5.283680E+01, 264.509647, 51.866450, 90.000000
 31844.01527778, 9.908764E+02, 5.437182E+01, 267.736168, 53.665062, 90.000000
 31844.01597222, 1.034936E+03, 5.577193E+01, 271.145250, 55.469938, 90.000000
 31844.01666667, 1.079470E+03, 5.703110E+01, 274.733803, 57.275016, 90.000000
 31844.01736111, 1.124390E+03, 5.814373E+01, 278.493036, 59.075291, 90.000000
 31844.01805556, 1.169609E+03, 5.910494E+01, 282.407615, 60.866662, 90.000000
 31844.01875000, 1.215047E+03, 5.991097E+01, 286.455221, 62.645782, 90.000000
 31844.01944444, 1.260625E+03, 6.055950E+01, 290.606696, 64.409938, 90.000000
 31844.02013889, 1.306269E+03, 6.104997E+01, 294.826906, 66.156957, 90.000000
 31844.02083333, 1.351909E+03, 6.138387E+01, 299.076359, 67.885110, 90.000000
 31844.02152778, 1.397480E+03, 6.156481E+01, 303.313406, 69.593048, 90.000000
 31844.02222222, 1.442918E+03, 6.159847E+01, 307.496769, 71.279734, 90.000000
 31844.02291667, 1.488166E+03, 6.149239E+01, 311.588007, 72.944401, 90.000000
 31844.02361111, 1.533169E+03, 6.125564E+01, 315.553574, 74.586499, 90.000000
 31844.02430556, 1.577875E+03, 6.089839E+01, 319.366219, 76.205667, 90.000000
