 MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 3.459000E+02, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 3.490097E+02, 3.404820E+00, 225.635247, 39.563907, 90.000000
 31844.00138889, 3.584349E+02, 6.792863E+00, 227.316568, 37.948107, 90.000000
 31844.00208333, 3.742565E+02, 1.014955E+01, 228.994834, 36.640438, 90.000000
 31844.00277778, 3.964592E+02, 1.346097E+01, 230.678991, 35.666242, 90.000000
 31844.00347222, 4.249272E+02, 1.671404E+01, 232.378364, 35.040235, 90.000000
 31844.00416667, 4.594513E+02, 1.989654E+01, 234.102397, 34.764402, 90.000000
 31844.00486111, 4.997447E+02, 2.299725E+01, 235.860421, 34.827411, 90.000000
 31844.00555556, 5.454643E+02, 2.600600E+01, 237.661475, 35.205874, 90.000000
 31844.00625000, 5.962332E+02, 2.891380E+01, 239.514179, 35.867169, 90.000000
 31844.00694444, 6.516597E+02, 3.171288E+01, 241.426677, 36.773090, 90.000000
 31844.00763889, 7.113536E+02, 3.439666E+01, 243.406602, 37.883470, 90.000000
 31844.00833333, 7.749367E+02, 3.695978E+01, 245.461064, 39.159142, 90.000000
 31844.00902778, 8.420494E+02, 3.939797E+01, 247.596616, 40.563961, 90.000000
 31844.00972222, 9.123535E+02, 4.170795E+01, 249.819195, 42.065921, 90.000000
 31844.01041667, 9.855337E+02, 4.388733E+01, 252.134012, 43.637556, 90.000000
 31844.01111111, 1.061297E+03, 4.593444E+01, 254.545399, 45.255860, 90.000000
 31844.01180556, 1.139370E+03, 4.784823E+01, 257.056595, 46.901924, 90.000000
 31844.01250000, 1.219501E+03, 4.962817E+01, 259.669495, 48.560454, 90.000000
 31844.01319444, 1.301454E+03, 5.127419E+01, 262.384360, 50.219245, 90.000000
 31844.01388889, 1.385014E+03, 5.278665E+01, 265.199522, 51.868684, 90.000000
 31844.01458333, 1.469978E+03, 5.416630E+01, 268.111101, 53.501302, 90.000000
 31844.01527778, 1.556161E+03, 5.541433E+01, 271.112767, 55.111384, 90.000000
 31844.01597222, 1.643390E+03, 5.653241E+01, 274.195595, 56.694635, 90.000000
 31844.01666667, 1.731508E+03, 5.752272E+01, 277.348035, 58.247911, 90.000000
 31844.01736111, 1.820369E+03, 5.838803E+01, 280.556040, 59.768987, 90.000000
 31844.01805556, 1.909838E+03, 5.913170E+01, 283.803362, 61.256373, 90.000000
 31844.01875000, 1.999795E+03, 5.975776E+01, 287.072012, 62.709165, 90.000000
 31844.01944444, 2.090126E+03, 6.027087E+01, 290.342870, 64.126920, 90.000000
 31844.02013889, 2.180729E+03, 6.067631E+01, 293.596390, 65.509557, 90.000000
 31844.02083333, 2.271511E+03, 6.097989E+01, 296.813343, 66.857279, 90.000000
 31844.02152778, 2.362387E+03, 6.118790E+01, 299.975523, 68.170506, 90.000000
 31844.02222222, 2.453278E+03, 6.130695E+01, 303.066369, 69.449823, 90.000000
 31844.02291667, 2.544116E+03, 6.134385E+01, 306.071438, 70.695942, 90.000000
