 MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 2.959000E+02, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 2.991155E+02, 3.479699E+00, 225.676692, 39.526234, 90.000000
 31844.00138889, 3.088728E+02, 6.941409E+00, 227.397597, 37.887205, 90.000000
 31844.00208333, 3.252667E+02, 1.036961E+01, 229.114252, 36.572492, 90.000000
 31844.00277778, 3.482838E+02, 1.374953E+01, 230.836360, 35.608190, 90.000000
 31844.00347222, 3.777976E+02, 1.706730E+01, 232.574049, 35.008536, 90.000000
 31844.00416667, 4.135770E+02, 2.030999E+01, 234.337551, 34.773741, 90.000000
 31844.00486111, 4.553065E+02, 2.346577E+01, 236.136934, 34.889615, 90.000000
 31844.00555556, 5.026107E+02, 2.652397E+01, 237.981888, 35.329263, 90.000000
 31844.00625000, 5.550802E+02, 2.947520E+01, 239.881595, 36.056431, 90.000000
 31844.00694444, 6.122937E+02, 3.231140E+01, 241.844668, 37.029623, 90.000000
 31844.00763889, 6.738347E+02, 3.502586E+01, 243.879131, 38.206002, 90.000000
 31844.00833333, 7.393030E+02, 3.761316E+01, 245.992400, 39.544454, 90.000000
 31844.00902778, 8.083208E+02, 4.006909E+01, 248.191262, 41.007566, 90.000000
 31844.00972222, 8.805353E+02, 4.239048E+01, 250.481801, 42.562631, 90.000000
 31844.01041667, 9.556191E+02, 4.457510E+01, 252.869276, 44.181901, 90.000000
 31844.01111111, 1.033269E+03, 4.662147E+01, 255.357938, 45.842387, 90.000000
 31844.01180556, 1.113204E+03, 4.852877E+01, 257.950787, 47.525391, 90.000000
 31844.01250000, 1.195166E+03, 5.029669E+01, 260.649285, 49.215941, 90.000000
 31844.01319444, 1.278914E+03, 5.192543E+01, 263.453040, 50.902216, 90.000000
 31844.01388889, 1.364226E+03, 5.341561E+01, 266.359474, 52.575007, 90.000000
 31844.01458333, 1.450898E+03, 5.476827E+01, 269.363538, 54.227249, 90.000000
 31844.01527778, 1.538741E+03, 5.598497E+01, 272.457481, 55.853614, 90.000000
 31844.01597222, 1.627580E+03, 5.706776E+01, 275.630737, 57.450169, 90.000000
 31844.01666667, 1.717256E+03, 5.801926E+01, 278.869960, 59.014104, 90.000000
 31844.01736111, 1.807623E+03, 5.884273E+01, 282.159242, 60.543499, 90.000000
 31844.01805556, 1.898547E+03, 5.954211E+01, 285.480521, 62.037140, 90.000000
 31844.01875000, 1.989905E+03, 6.012201E+01, 288.814161, 63.494369, 90.000000
